,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1663,1664,28.0,2.0,USA,,,135643,145.0,52.0,0,,680.0,638.0,576.0,2867,8.5,Excellent
2437,2438,98.0,0.0,USA,18000000.0,8000000.0,1400,41.0,25.0,346,28.0,372.0,262.0,102.0,927,5.0,Fair
3221,3222,101.0,1.0,France,,244465.0,1135,14.0,22.0,85,163.0,837.0,130.0,34.0,1019,6.8,Good
3809,3810,95.0,7.0,USA,,,1091,15.0,6.0,0,7.0,989.0,970.0,541.0,3514,5.1,Fair
2255,2256,99.0,1.0,Hong Kong,20000000.0,17104669.0,99353,354.0,377.0,0,0.0,264.0,62.0,59.0,537,7.8,Good
550,551,123.0,2.0,USA,80000000.0,41523271.0,57038,261.0,132.0,0,272.0,13000.0,450.0,193.0,13934,6.6,Good
4152,4153,89.0,0.0,USA,3000000.0,,859,17.0,14.0,369,6.0,679.0,234.0,29.0,964,4.0,Bad
1564,1565,110.0,3.0,USA,30000000.0,4357000.0,5176,30.0,15.0,350,278.0,3000.0,359.0,179.0,3864,5.3,Fair
487,488,106.0,3.0,USA,70000000.0,37754208.0,172217,405.0,132.0,0,13000.0,20000.0,770.0,733.0,22590,6.3,Good
4695,4696,106.0,2.0,USA,700000.0,2694973.0,70885,189.0,208.0,0,31.0,33000.0,519.0,71.0,33734,7.2,Good
1880,1881,82.0,0.0,USA,30000000.0,80920948.0,23943,118.0,66.0,425,8.0,770.0,677.0,179.0,2251,6.0,Fair
3603,3604,,1.0,UK,,,9277,44.0,10.0,11000,,1000.0,888.0,502.0,4528,8.2,Excellent
4959,4960,100.0,4.0,USA,,2643689.0,10499,113.0,57.0,0,23.0,1000.0,577.0,545.0,2283,7.3,Good
2319,2320,93.0,3.0,USA,20000000.0,3749061.0,28629,113.0,119.0,0,19.0,15000.0,13000.0,619.0,30134,4.9,Fair
62,63,110.0,2.0,USA,180000000.0,124051759.0,42372,239.0,248.0,29000,282.0,11000.0,10000.0,103.0,21175,6.6,Good
573,574,125.0,0.0,Germany,70000000.0,62647540.0,143525,657.0,262.0,0,0.0,15000.0,383.0,210.0,15850,7.1,Good
3212,3213,93.0,2.0,USA,10000000.0,900926.0,9517,46.0,51.0,319,0.0,966.0,799.0,622.0,3307,5.3,Fair
4669,4670,93.0,4.0,USA,600000.0,35688.0,4167,72.0,6.0,0,247.0,247.0,217.0,152.0,954,5.1,Fair
1427,1428,125.0,2.0,USA,35000000.0,83299761.0,117719,306.0,405.0,39000,102.0,15000.0,2000.0,825.0,19809,7.5,Good
1510,1511,113.0,0.0,USA,34000000.0,102413606.0,310903,524.0,297.0,38000,47.0,988.0,149.0,129.0,1783,6.8,Good
2949,2950,102.0,1.0,USA,12000000.0,,3000,75.0,70.0,902,287.0,452.0,122.0,79.0,729,5.4,Fair
2965,2966,100.0,1.0,USA,,21520719.0,10103,36.0,70.0,0,43.0,988.0,826.0,696.0,3906,5.8,Fair
1252,1253,95.0,4.0,USA,,50562555.0,81334,291.0,175.0,0,30.0,799.0,690.0,664.0,2787,6.5,Good
3621,3622,96.0,1.0,Germany,6000000.0,4394936.0,11439,190.0,35.0,901,3.0,4000.0,812.0,353.0,5668,5.3,Fair
4944,4945,62.0,1.0,United Arab Emirates,125000.0,,18,,,54,58.0,,,,0,8.2,Excellent
1403,1404,43.0,2.0,USA,,,2185,30.0,5.0,0,,778.0,618.0,452.0,2255,5.8,Fair
1080,1081,97.0,1.0,USA,45000000.0,93452056.0,184795,310.0,207.0,22000,0.0,11000.0,2000.0,760.0,14868,7.4,Good
4445,4446,130.0,2.0,USA,60000000.0,80033643.0,226583,448.0,387.0,38000,188.0,10000.0,3000.0,1000.0,16385,7.0,Good
2963,2964,93.0,2.0,USA,,13960203.0,2301,15.0,11.0,439,3.0,1000.0,560.0,324.0,2939,5.3,Fair
3697,3698,104.0,0.0,USA,15000000.0,71897215.0,126893,440.0,411.0,33000,16.0,14000.0,338.0,82.0,14504,7.3,Good
2970,2971,137.0,0.0,USA,107000000.0,22406362.0,16832,267.0,106.0,701,102.0,2000.0,973.0,877.0,5780,6.0,Fair
1125,1126,128.0,2.0,France,45000000.0,15523168.0,132423,349.0,343.0,15000,2000.0,854.0,766.0,501.0,2507,7.2,Good
719,720,99.0,2.0,USA,70000000.0,101217900.0,91093,353.0,120.0,0,59.0,770.0,263.0,145.0,1195,7.0,Good
4457,4458,120.0,1.0,UK,960000.0,3650677.0,414976,523.0,116.0,21000,0.0,26000.0,1000.0,452.0,28294,8.2,Excellent
4162,4163,141.0,2.0,Canada,3000000.0,,745,8.0,1.0,50,2.0,258.0,85.0,32.0,434,6.6,Good
4696,4697,107.0,4.0,USA,700000.0,10508.0,103,6.0,2.0,102,0.0,752.0,282.0,236.0,1763,6.5,Good
2476,2477,91.0,2.0,France,18000000.0,,5693,34.0,59.0,0,512.0,11000.0,918.0,413.0,13545,5.3,Fair
4278,4279,101.0,0.0,USA,2000000.0,2506446.0,8662,172.0,108.0,134,0.0,8000.0,724.0,685.0,11327,4.7,Fair
4026,4027,92.0,0.0,USA,3000000.0,2926565.0,28573,72.0,159.0,0,0.0,1000.0,585.0,539.0,3608,6.5,Good
680,681,135.0,1.0,USA,65000000.0,32598931.0,49300,265.0,134.0,892,138.0,324.0,192.0,184.0,1013,6.2,Good
1188,1189,89.0,0.0,France,40000000.0,126546825.0,327367,918.0,433.0,83000,0.0,19000.0,11000.0,903.0,32325,6.4,Good
4311,4312,96.0,1.0,USA,2000000.0,198407.0,10282,78.0,78.0,474,38.0,363.0,223.0,85.0,774,6.6,Good
3059,3060,125.0,1.0,UK,11000000.0,3753806.0,20307,165.0,169.0,0,608.0,979.0,594.0,579.0,3133,7.7,Good
4833,4834,88.0,0.0,USA,300000.0,,554,23.0,20.0,92,5.0,795.0,659.0,301.0,1884,5.2,Fair
3580,3581,110.0,2.0,USA,6000000.0,181360000.0,170027,350.0,124.0,13000,116.0,1000.0,944.0,898.0,5127,7.2,Good
4102,4103,89.0,1.0,USA,3000000.0,2223990.0,761,14.0,23.0,26,269.0,489.0,26.0,24.0,539,6.6,Good
1218,1219,123.0,0.0,USA,34000000.0,66808615.0,87351,344.0,125.0,2000,563.0,24000.0,11000.0,8000.0,43917,6.1,Good
3164,3165,89.0,9.0,USA,10000000.0,8070311.0,12706,75.0,52.0,0,18.0,7000.0,2000.0,2000.0,13626,5.3,Fair
1875,1876,128.0,1.0,USA,28000000.0,3254172.0,29282,105.0,224.0,11000,386.0,19000.0,17000.0,203.0,36337,6.2,Good
2601,2602,102.0,4.0,USA,11000000.0,167780960.0,36918,42.0,21.0,3000,12000.0,19000.0,875.0,801.0,21499,5.9,Fair
3247,3248,85.0,0.0,South Korea,10000000.0,,162,2.0,8.0,186,0.0,1000.0,618.0,196.0,2259,4.8,Fair
1928,1929,144.0,6.0,France,25500000.0,41229.0,14612,41.0,91.0,0,0.0,15000.0,960.0,745.0,18442,6.5,Good
4740,4741,86.0,3.0,USA,500000.0,334041.0,1038,21.0,17.0,51,204.0,659.0,529.0,474.0,2322,6.5,Good
1418,1419,108.0,0.0,USA,35000000.0,60054449.0,61018,140.0,97.0,0,79.0,900.0,759.0,25.0,1715,5.8,Fair
4397,4398,123.0,0.0,France,1600000.0,26893.0,4391,26.0,35.0,278,0.0,963.0,710.0,21.0,1694,7.2,Good
3227,3228,82.0,1.0,USA,10000000.0,131617.0,9971,119.0,79.0,661,216.0,1000.0,922.0,885.0,5761,6.3,Good
1428,1429,202.0,0.0,USA,33000000.0,48169908.0,63923,156.0,61.0,0,0.0,18000.0,848.0,318.0,20143,7.7,Good
