,distance,consume,speed,temp_inside,temp_outside,specials,AC,rain,sun,refill liters
50,11,8.0,5.1,29.0,21.5,7,SP98,0,1,0.0
51,10,6.0,4.9,63.0,21.5,7,SP98,0,0,0.0
52,11,6.0,4.2,61.0,21.5,7,SP98,0,0,0.0
53,13,1.0,6.1,46.0,21.5,7,SP98,0,1,0.0
54,6,1.0,6.4,28.0,21.5,7,SP98,0,0,0.0
55,153,5.0,4.9,82.0,21.5,7,SP98,0,1,0.0
56,11,8.0,4.9,24.0,21.5,7,SP98,0,0,0.0
57,12,3.0,6.2,61.0,21.5,7,SP98,0,0,0.0
58,12,4.0,4.2,57.0,21.5,7,SP98,0,0,0.0
59,12,3.0,5.7,52.0,21.5,7,SP98,0,1,0.0
60,2,9.0,7.9,18.0,21.5,7,SP98,1,1,0.0
61,2,1.0,12.2,23.0,21.5,7,SP98,1,1,0.0
62,9,8.0,5.8,24.0,21.5,7,SP98,0,0,0.0
63,6,8.0,5.3,26.0,21.5,7,SP98,0,0,0.0
64,12,4.0,5.4,24.0,21.5,7,SP98,0,0,0.0
65,12,4.0,4.7,57.0,21.5,7,SP98,0,0,0.0
66,11,8.0,4.6,41.0,21.5,7,SP98,0,0,0.0
67,12,3.0,5.4,55.0,21.5,7,SP98,0,0,0.0
68,14,4.3,40.0,21.5,8.0,7,0,0,0,0.33432
69,11,8.0,4.5,37.0,21.5,7,SP98,1,0,0.0
70,12,3.0,5.2,55.0,21.5,7,SP98,0,0,0.0
71,2,6.2,20.0,21.5,10.0,7,0,0,0,0.33432
72,13,9.0,5.1,29.0,21.5,7,SP98,0,0,0.0
73,9,7.0,3.9,42.0,21.5,7,SP98,0,0,0.0
74,11,6.0,5.0,25.0,21.5,7,SP98,0,0,0.0
75,14,2.0,5.4,38.0,21.5,7,SP98,0,0,0.0
76,11,8.0,4.5,39.0,21.5,7,SP98,0,0,0.0
77,24,8.0,5.1,50.0,21.5,7,SP98,0,0,0.0
78,12,4.0,4.7,56.0,21.5,7,SP98,0,0,0.0
79,34,8.0,4.0,28.0,20.0,7,SP98,0,0,0.0
80,14,2.0,5.4,36.0,20.0,7,SP98,0,0,0.0
81,5,2.0,4.5,39.0,20.0,7,SP98,0,0,0.0
82,10,5.0,3.6,42.0,20.0,7,SP98,0,0,0.0
83,12,3.0,5.2,57.0,20.0,7,SP98,0,0,0.0
84,11,8.0,4.9,25.0,20.0,7,SP98,0,0,0.0
85,12,3.0,6.2,58.0,20.0,7,SP98,0,1,0.0
86,13,2.0,4.3,51.0,20.0,7,SP98,0,1,0.0
87,13,5.0,45.0,20.0,11.0,7,0,1,0,0.33432
88,12,9.0,5.1,32.0,20.0,7,SP98,0,0,0.0
89,13,9.0,5.6,22.0,20.0,7,SP98,0,0,0.0
90,11,8.0,4.3,37.0,20.0,7,SP98,0,0,0.0
91,12,2.0,5.8,60.0,20.0,7,SP98,0,0,0.0
92,12,5.0,4.0,51.0,20.0,7,SP98,0,0,0.0
93,12,4.0,4.7,43.0,20.614058,7,SP98,0,0,0.0
94,11,8.0,5.9,21.0,20.0,7,SP98,1,1,0.0
95,11,8.0,5.3,52.0,20.614058,7,SP98,0,0,0.0
96,12,5.0,4.2,57.0,20.0,7,SP98,0,0,0.0
97,15,7.0,5.3,33.0,20.614058,7,SP98,0,0,0.0
98,12,9.0,5.7,35.0,20.614058,7,SP98,0,0,0.0
99,6,4.0,4.4,37.0,20.614058,7,SP98,0,0,0.0
100,5,3.0,4.1,34.0,20.614058,7,SP98,0,0,0.0
101,26,2.0,5.8,71.0,21.0,7,SP98,1,1,0.0
102,18,8.0,5.0,62.0,20.614058,7,SP98,0,1,0.0
103,4,9.0,6.9,25.0,21.0,7,SP98,0,1,0.0
104,12,4.0,5.4,18.0,21.0,7,SP98,1,1,0.0
105,22,9.0,5.3,45.0,20.5,7,SP98,0,0,0.0
106,162,7.0,5.5,75.0,23.0,7,SP98,0,0,0.0
107,4,9.0,6.5,26.0,21.0,7,SP98,0,0,0.0
108,11,8.0,4.7,36.0,21.0,7,SP98,0,0,0.0
109,16,6.0,5.1,56.0,21.0,7,SP98,0,0,0.0
110,12,4.0,5.7,37.0,21.0,7,SP98,0,0,0.0
111,15,9.0,5.4,25.0,21.0,7,SP98,0,0,0.0
112,5,1.0,8.7,21.0,23.5,7,SP98,0,0,0.0
113,22,4.0,4.9,66.0,20.5,7,SP98,0,0,0.0
114,31,1.0,4.7,42.0,20.5,7,SP98,0,0,0.0
115,4,9.0,6.3,27.0,20.5,7,SP98,0,0,0.0
116,11,8.0,5.1,26.0,23.0,7,SP98,0,1,0.0
117,22,9.0,6.0,42.0,23.0,7,SP98,0,1,0.0
118,12,4.0,4.6,38.0,23.0,7,SP98,0,1,0.0
119,12,9.0,5.8,40.0,23.0,7,SP98,0,0,0.0
120,11,8.0,5.1,43.0,23.0,7,SP98,0,0,0.0
121,12,2.0,5.8,58.0,23.0,7,SP98,0,0,0.0
122,24,8.0,4.6,55.0,23.0,7,SP98,0,0,0.0
123,14,2.0,5.6,24.0,23.0,7,SP98,0,0,0.0
124,11,8.0,4.6,38.0,23.0,7,SP98,0,1,0.0
125,12,2.0,6.3,57.0,23.0,7,SP98,0,1,0.0
126,24,7.0,5.5,56.0,25.0,7,SP98,0,0,0.0
127,6,8.0,4.3,46.0,24.0,7,SP98,0,0,0.0
128,17,3.0,5.6,37.0,21.5,7,SP98,0,0,0.0
129,11,8.0,4.3,44.0,21.5,7,SP98,0,0,0.0
130,15,9.0,5.7,46.0,21.5,7,SP98,0,0,0.0
131,5,1.0,6.4,39.0,21.5,7,SP98,0,0,0.0
132,16,1.0,4.5,33.0,21.5,7,SP98,0,0,0.0
133,11,8.0,4.5,43.0,21.5,7,SP98,0,0,0.0
134,4,2.0,6.0,26.0,21.5,7,SP98,0,0,0.0
135,17,4.0,5.1,30.0,21.5,7,SP98,0,0,0.0
136,23,5.0,6.0,25.0,21.5,7,SP98,0,1,0.0
137,11,8.0,4.5,38.0,21.5,7,SP98,0,1,0.0
138,12,3.0,6.1,61.0,21.5,7,SP98,0,1,0.0
139,16,1.0,5.4,24.0,21.5,7,E10,0,1,0.0
140,11,8.0,4.3,40.0,21.5,7,E10,0,1,0.0
141,12,3.0,5.4,58.0,21.5,7,E10,0,0,0.0
142,12,4.0,4.3,49.0,21.5,7,E10,0,0,0.0
143,7,5.2,25.0,21.5,17.0,7,0,0,0,0.33432
144,11,8.0,4.1,37.0,21.5,7,E10,0,0,0.0
145,20,1.0,4.4,41.0,21.5,7,E10,0,0,0.0
146,20,8.0,4.5,45.0,21.5,7,E10,0,0,0.0
147,1,7.0,10.8,14.0,21.5,7,E10,0,1,0.0
148,35,9.0,4.7,45.0,21.5,7,E10,0,0,0.0
149,36,9.0,4.8,52.0,21.5,7,E10,0,0,0.0
150,16,8.0,4.0,46.0,21.5,7,E10,0,0,0.0
151,9,9.0,5.0,28.0,21.5,7,E10,0,0,0.0
152,22,9.0,4.6,61.0,21.5,7,E10,0,1,0.0
153,17,3.0,5.0,61.0,21.5,7,E10,1,1,0.0
154,11,8.0,4.3,37.0,21.5,7,E10,0,0,0.0
155,36,6.0,5.2,80.0,21.5,7,E10,0,1,0.0
156,44,9.0,4.7,62.0,21.5,7,E10,0,0,0.0
157,11,8.0,4.2,34.0,21.5,7,E10,0,1,0.0
158,21,6.0,5.3,44.0,21.5,7,E10,0,1,0.0
159,39,4.0,5.3,60.0,21.5,7,E10,0,1,0.0
160,5,1.0,8.1,39.0,21.5,7,E10,0,0,0.0
161,26,6.0,4.8,38.0,21.5,7,E10,0,0,0.0
162,53,2.0,5.1,71.0,21.5,7,E10,0,0,0.0
163,18,9.0,4.4,53.0,21.5,7,E10,0,0,0.0
164,43,5.0,5.0,80.0,21.5,7,E10,0,0,0.0
165,6,1.0,6.3,26.0,21.5,7,E10,0,0,0.0
166,16,4.0,4.8,49.0,21.5,7,E10,0,0,0.0
167,12,3.0,6.1,40.0,21.5,7,E10,0,0,0.0
168,21,1.0,4.6,36.0,21.5,7,E10,0,0,0.0
169,21,1.0,4.8,43.0,21.5,7,E10,0,0,0.0
170,22,7.0,4.7,55.0,21.5,7,E10,0,0,0.0
171,44,4.0,4.8,38.0,21.5,7,E10,0,0,0.0
172,35,8.0,4.4,51.0,21.5,7,E10,0,0,0.0
173,11,8.0,4.9,44.0,21.5,7,E10,0,0,0.0
174,26,2.0,4.9,42.0,21.5,7,E10,0,0,0.0
175,40,6.0,4.4,44.0,21.0,7,E10,0,0,0.0
176,12,4.0,5.3,38.0,21.0,7,E10,0,0,0.0
177,14,1.0,5.3,47.0,21.0,7,E10,0,0,0.0
178,58,7.0,4.8,75.0,21.0,7,E10,0,0,0.0
179,16,2.0,5.2,29.0,21.0,7,E10,0,0,0.0
180,12,3.0,4.9,50.0,22.5,7,E10,0,0,0.0
181,12,3.0,7.1,52.0,22.5,7,E10,1,1,0.0
182,12,4.0,5.2,51.0,22.5,7,E10,0,0,0.0
183,31,8.0,4.7,59.0,22.5,7,E10,0,0,0.0
184,12,3.0,5.1,55.0,22.5,7,E10,0,0,0.0
185,51,6.0,5.0,73.0,22.5,7,E10,0,0,0.0
186,38,6.0,4.6,44.0,22.5,7,E10,0,0,0.0
187,12,3.0,4.8,41.0,22.5,7,E10,0,0,0.0
188,81,2.0,4.4,69.0,22.0,7,E10,0,0,0.0
189,130,3.0,4.6,85.0,22.0,7,E10,0,0,0.0
190,67,2.0,4.3,67.0,22.0,7,E10,0,0,0.0
191,43,7.0,4.7,44.0,22.0,7,SP98,0,1,0.0
192,12,1.0,4.2,43.0,22.0,7,SP98,0,0,0.0
193,56,1.0,4.8,82.0,22.0,7,SP98,0,0,0.0
194,39,4.1,61.0,22.0,16.0,7,0,0,0,0.33432
195,11,8.0,4.5,41.0,21.5,7,SP98,0,0,0.0
196,38,5.0,4.8,63.0,21.5,7,SP98,0,0,0.0
197,28,2.0,4.6,54.0,21.5,7,SP98,0,0,0.0
198,2,9.0,7.4,24.0,21.5,7,SP98,0,0,0.0
199,6,1.0,5.6,24.0,21.5,7,SP98,0,0,0.0
200,19,6.0,4.9,43.0,21.5,7,SP98,0,0,0.0
201,22,2.0,3.8,42.0,20.614058,7,SP98,0,0,0.0
202,13,6.0,4.5,44.0,19.0,7,SP98,0,0,0.0
203,12,6.0,4.1,33.0,20.614058,7,SP98,0,0,0.0
204,8,7.0,5.3,28.0,22.5,7,SP98,1,1,0.0
205,7,9.0,4.7,31.0,22.5,7,SP98,1,0,0.0
206,2,4.0,9.0,26.0,20.0,7,SP98,0,0,0.0
207,4,9.0,6.3,26.0,20.0,7,SP98,0,0,0.0
208,18,1.0,3.6,36.0,20.0,7,SP98,0,0,0.0
209,25,9.0,3.7,39.0,20.0,7,SP98,0,0,0.0
210,1,3.0,11.5,21.0,20.0,7,SP98,0,0,0.0
211,14,1.0,5.0,22.0,20.0,7,SP98,0,0,0.0
212,13,4.0,5.5,31.0,20.0,7,SP98,0,0,0.0
213,6,4.0,4.7,33.0,20.0,7,SP98,0,0,0.0
214,12,9.0,4.5,42.0,20.0,7,SP98,0,0,0.0
215,12,1.0,4.4,33.0,22.5,7,SP98,0,0,0.0
216,15,7.0,4.1,32.0,22.5,7,SP98,0,0,0.0
217,16,2.0,4.4,26.0,22.5,7,SP98,0,0,0.0
218,12,8.0,4.6,22.0,22.5,7,SP98,0,0,0.0
219,19,4.4,58.0,22.5,17.0,7,0,0,1,0.33432
220,29,4.0,27.0,22.5,12.0,7,0,0,0,0.33432
221,12,1.0,5.0,32.0,22.5,7,SP98,0,0,0.0
222,12,3.0,5.2,55.0,22.5,7,SP98,0,0,0.0
223,24,8.0,4.0,56.0,22.5,7,SP98,0,0,0.0
224,12,9.0,5.1,34.0,22.5,7,SP98,0,1,0.0
225,11,8.0,4.5,39.0,22.5,7,SP98,0,0,0.0
226,31,4.0,4.6,62.0,22.5,7,SP98,0,0,0.0
227,19,5.1,53.0,22.5,4.0,7,0,1,0,0.33432
228,13,5.7,38.0,22.5,3.0,7,1,1,0,0.33432
229,11,8.0,4.8,42.0,22.5,7,SP98,0,0,0.0
230,13,6.2,32.0,22.5,4.0,7,0,0,0,0.33432
231,11,8.0,5.0,43.0,22.5,7,SP98,0,0,0.0
232,27,1.0,5.0,69.0,22.5,7,SP98,0,0,0.0
233,5,2.0,4.6,38.0,22.5,7,SP98,0,0,0.0
234,19,4.5,29.0,22.5,10.0,7,0,0,0,39.0
235,12,4.0,4.8,38.0,22.5,7,E10,0,0,0.0
236,25,2.0,5.0,55.0,22.5,7,E10,0,0,0.0
237,14,3.0,4.8,36.0,22.5,7,E10,0,0,0.0
238,11,8.0,4.6,40.0,22.5,7,E10,0,0,0.0
239,16,9.0,4.5,48.0,22.5,7,E10,0,0,1.0
240,12,4.0,4.6,55.0,22.5,7,E10,0,0,1.0
241,17,4.0,4.4,36.0,22.5,7,E10,0,0,1.0
242,9,2.0,5.7,33.0,22.5,7,E10,0,1,0.0
243,12,3.0,5.8,54.0,22.5,7,E10,0,1,0.0
244,13,5.9,32.0,22.5,10.0,7,0,0,0,0.33432
245,11,8.0,6.1,16.0,22.5,7,E10,0,1,0.0
246,13,5.7,37.0,22.5,11.0,7,0,1,0,0.33432
247,12,3.0,5.0,42.0,22.5,7,E10,0,0,0.0
248,12,3.0,5.2,57.0,22.5,7,E10,0,0,1.0
249,12,5.0,4.3,57.0,22.5,7,E10,0,0,1.0
250,31,5.0,4.1,30.0,22.5,7,E10,0,0,1.0
251,11,8.0,4.4,42.0,22.5,7,E10,0,0,0.0
252,24,9.0,4.5,53.0,22.5,7,E10,0,0,0.0
253,17,3.9,46.0,22.5,14.0,7,0,0,1,0.33432
254,2,8.1,20.0,22.5,14.0,7,0,0,0,0.33432
255,11,8.0,4.4,33.0,22.5,7,E10,0,0,0.0
256,7,4.0,5.0,31.0,22.5,7,E10,0,0,0.0
257,12,4.0,4.7,55.0,22.5,7,E10,0,0,1.0
258,2,6.0,22.0,22.5,14.0,7,0,0,0,0.33432
259,14,5.0,41.0,22.5,8.0,7,0,0,0,0.33432
260,25,7.0,5.0,45.0,22.5,7,E10,0,0,0.0
261,24,5.0,3.9,50.0,20.614058,7,E10,0,0,1.0
262,11,8.0,4.5,28.0,22.5,7,E10,0,0,0.0
263,4,1.0,5.4,24.0,22.5,7,E10,0,0,0.0
264,4,2.0,5.6,29.0,22.0,7,E10,0,0,0.0
265,4,2.0,3.9,29.0,22.0,7,E10,0,0,1.0
266,16,4.0,40.0,22.0,10.0,7,0,0,0,0.33432
267,22,9.0,4.0,29.0,20.614058,7,E10,0,0,0.0
268,16,3.8,42.0,39.671835,8.0,7,0,0,0,0.33432
269,15,4.0,4.5,50.0,22.0,7,E10,0,0,0.0
270,16,3.8,41.0,22.0,12.0,7,0,0,0,0.33432
271,4,2.0,5.6,32.0,22.0,7,E10,0,0,0.0
272,101,9.0,5.2,75.0,22.0,7,E10,0,0,0.0
273,93,9.0,4.8,88.0,23.0,7,E10,1,0,1.0
274,25,7.0,4.9,50.0,22.0,7,SP98,0,1,0.0
275,16,4.1,40.0,22.0,10.0,7,0,0,0,0.33432
276,16,1.0,4.5,32.0,22.0,7,SP98,0,0,0.0
277,16,4.4,40.0,22.0,7.0,7,1,1,0,0.33432
278,16,4.5,41.0,22.0,11.0,7,0,0,0,0.33432
279,24,7.0,4.5,26.0,22.0,7,SP98,0,0,0.0
280,16,3.9,42.0,22.0,8.0,7,0,0,0,0.33432
281,15,4.0,4.6,43.0,22.0,7,SP98,0,0,0.0
282,16,3.8,40.0,22.0,8.0,7,0,0,0,0.33432
283,32,1.0,4.5,50.0,22.0,7,SP98,0,0,0.0
284,25,9.0,4.4,40.0,22.0,7,SP98,0,0,0.0
285,48,6.0,4.3,44.0,22.0,7,SP98,0,0,0.0
286,37,2.0,4.0,45.0,22.0,7,SP98,0,0,1.0
287,28,8.0,3.9,35.0,22.0,7,SP98,0,0,1.0
288,6,7.0,5.0,30.0,22.0,7,SP98,0,0,0.0
289,7,4.0,4.1,25.0,22.0,7,SP98,0,0,1.0
290,17,3.0,4.1,22.0,22.0,7,SP98,0,0,1.0
291,6,6.0,5.6,43.0,22.0,7,SP98,0,0,0.0
292,14,3.0,4.1,26.0,22.0,7,SP98,0,0,0.0
293,13,3.0,4.6,33.0,22.0,7,SP98,0,0,0.0
294,8,3.0,4.9,26.0,22.0,7,SP98,0,0,0.0
295,12,7.0,4.5,39.0,22.0,7,SP98,0,0,1.0
296,16,5.0,4.1,47.0,22.0,7,SP98,0,0,0.0
297,20,6.0,4.1,38.0,22.0,7,SP98,0,0,0.0
298,16,3.0,4.5,58.0,22.0,7,SP98,0,0,0.0
299,18,7.0,4.2,65.0,25.0,7,SP98,1,0,1.0
300,36,5.0,3.9,54.0,23.0,7,SP98,0,0,1.0
301,19,5.0,35.0,22.0,15.0,7,1,0,1,0.33432
302,16,6.0,4.4,46.0,22.0,7,SP98,1,0,0.0
303,29,9.0,4.5,32.0,22.0,7,SP98,1,0,0.0
304,16,3.8,42.0,22.0,11.0,7,0,0,0,0.33432
305,21,1.0,5.1,33.0,22.0,7,SP98,0,1,0.0
306,16,3.9,40.0,22.0,10.0,7,0,0,0,0.33432
307,11,9.0,5.3,34.0,22.0,7,SP98,0,0,0.0
308,10,1.0,4.2,35.0,22.0,7,SP98,0,0,0.0
309,31,9.0,4.3,33.0,22.0,7,SP98,0,0,0.0
310,18,7.0,4.0,60.0,22.0,7,SP98,0,0,0.0
311,10,8.0,4.7,48.0,22.0,7,SP98,0,0,1.0
312,19,8.0,4.0,56.0,22.0,7,SP98,0,0,1.0
313,11,3.0,4.3,38.0,22.0,7,SP98,0,0,0.0
314,11,5.0,5.3,53.0,22.0,7,SP98,0,0,0.0
315,21,4.0,5.2,51.0,22.0,7,SP98,0,0,0.0
316,32,4.9,53.0,22.0,15.0,7,0,0,0,0.33432
317,41,9.0,4.7,53.0,22.0,7,SP98,0,0,0.0
318,211,4.6,80.0,22.0,20.0,7,0,0,0,0.33432
319,216,1.0,5.3,90.0,22.0,7,SP98,0,0,1.0
320,25,5.0,3.6,27.0,22.0,7,SP98,0,0,1.0
321,16,6.0,4.2,52.0,22.0,7,SP98,0,1,0.0
322,25,9.0,4.1,43.0,22.0,7,SP98,0,0,0.0
323,16,5.0,4.0,48.0,22.0,7,SP98,0,0,0.0
324,22,1.0,3.9,29.0,22.0,7,SP98,0,0,0.0
325,16,6.0,3.7,49.0,22.0,7,E10,0,0,0.0
326,15,4.0,4.5,43.0,22.0,7,E10,0,0,0.0
327,16,5.0,3.9,43.0,22.0,7,E10,0,0,0.0
328,15,4.0,5.1,21.0,22.0,7,E10,0,0,0.0
329,18,4.0,4.2,59.0,22.0,7,E10,0,0,0.0
330,39,5.0,4.2,58.0,22.0,7,E10,0,0,0.0
331,21,5.0,4.8,47.0,25.0,7,E10,1,0,1.0
332,4,8.0,4.7,26.0,25.0,7,E10,0,0,0.0
333,100,9.0,4.7,87.0,23.5,7,E10,0,0,0.0
334,129,7.0,4.6,58.0,24.0,7,E10,0,0,0.0
335,16,6.0,3.8,43.0,21.5,7,E10,0,0,0.0
336,15,4.0,4.2,50.0,21.5,7,E10,0,0,0.0
337,16,3.7,45.0,22.0,17.0,7,0,0,0,0.33432
338,16,4.2,41.0,22.0,15.0,7,0,0,0,0.33432
339,15,4.0,4.1,45.0,22.0,7,E10,0,0,0.0
340,16,4.0,43.0,22.0,16.0,7,0,0,0,0.33432
341,21,3.8,37.0,22.0,21.0,7,0,0,0,0.33432
342,15,4.0,3.8,47.0,22.0,7,E10,0,0,0.0
343,16,3.8,42.0,22.0,17.0,7,0,0,0,0.33432
344,16,1.0,5.1,30.0,25.0,7,E10,1,1,0.0
345,16,4.0,42.0,22.0,15.0,7,0,0,0,0.33432
346,15,4.0,4.8,40.0,22.0,7,E10,0,0,0.0
347,17,2.0,3.9,35.0,22.0,7,E10,0,0,0.0
348,16,6.0,4.6,50.0,22.0,7,E10,0,0,0.0
349,18,3.0,4.3,46.0,22.0,7,SP98,0,0,0.0
350,16,1.0,4.8,36.0,22.0,7,SP98,0,1,0.0
351,16,4.1,46.0,22.0,17.0,7,0,0,0,0.33432
352,16,3.0,4.0,35.0,22.0,7,SP98,0,0,0.0
353,16,3.7,44.0,22.0,16.0,7,0,0,0,0.33432
354,18,3.0,4.3,46.0,22.0,7,SP98,0,0,0.0
355,4,5.0,5.2,23.0,22.0,7,SP98,0,0,1.0
356,17,4.2,48.0,22.0,16.0,7,0,0,0,0.33432
357,6,1.0,5.0,35.0,24.5,7,SP98,0,0,0.0
358,6,1.0,5.0,33.0,22.0,7,SP98,0,0,1.0
359,17,3.0,4.2,36.0,22.0,7,SP98,0,0,0.0
360,6,4.8,27.0,22.0,17.0,7,0,0,0,0.33432
361,16,4.1,45.0,22.0,15.0,7,0,0,0,0.33432
362,15,4.0,4.9,55.0,22.0,7,SP98,0,0,0.0
363,15,4.0,4.3,39.0,22.0,7,SP98,0,0,0.0
364,16,3.9,35.0,22.0,18.0,7,0,0,0,0.33432
365,15,4.0,4.5,52.0,22.0,7,SP98,0,0,0.0
366,16,6.0,4.1,48.0,25.5,7,SP98,1,0,1.0
367,15,4.0,5.0,48.0,25.5,7,SP98,1,0,0.0
368,16,4.0,43.0,22.0,21.0,7,1,0,0,0.33432
369,15,4.0,4.5,42.0,22.0,7,SP98,0,0,0.0
370,16,3.6,43.0,22.0,19.0,7,0,0,0,0.33432
371,20,9.0,4.1,33.0,22.0,7,SP98,0,0,0.0
372,32,1.0,3.9,47.0,22.0,7,SP98,0,0,0.0
373,15,3.0,6.6,16.0,24.0,7,SP98,1,0,0.0
374,28,5.0,4.0,44.0,25.0,7,SP98,1,0,0.0
375,11,9.0,3.7,33.0,25.0,7,SP98,0,0,0.0
376,14,5.0,4.3,36.0,25.0,7,SP98,0,0,0.0
377,16,6.0,4.1,49.0,22.0,7,SP98,0,0,1.0
378,16,2.0,4.4,39.0,24.5,7,SP98,1,0,0.0
379,16,7.0,3.8,44.0,24.5,7,SP98,0,0,1.0
380,8,3.0,5.0,52.0,24.5,7,SP98,0,0,0.0
381,5,5.0,3.7,33.0,24.5,7,SP98,0,0,1.0
382,13,6.0,3.7,33.0,24.5,7,SP98,0,0,1.0
383,16,3.7,39.0,24.5,18.0,7,0,0,0,0.33432
384,16,1.0,4.3,38.0,25.0,7,SP98,1,0,0.0
385,16,3.8,45.0,25.0,19.0,7,0,0,0,0.33432
386,15,4.0,4.6,42.0,25.0,7,SP98,1,0,0.0
387,14,7.0,5.0,25.0,25.0,7,SP98,1,0,0.0
